party,iso3,unfccc_yr,unfccc_net,unfccc_gross,primap_yr,primap_net,primap_gross,peak_yr_net,peak_ghg_net,peak_yr_gross,peak_ghg_gross,nz_yr,ndc30_low,ndc30_high,ndc30_lulucf,ndc35_low,ndc35_high,ndc35_lulucf,s2z_aligned_label,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,c1_ghg_p5,c1_ghg_p95,c2_ghg_p5,c2_ghg_p95,c3_ghg_p5,c3_ghg_p95,c4_ghg_p5,c4_ghg_p95,c5_ghg_p5,c5_ghg_p95,c6_ghg_p5,c6_ghg_p95,c7_ghg_p5,c7_ghg_p95,nz_min,nz_max,b2c_min,b2c_max,fw_min,fw_max,cp_min,cp_max
Pakistan,PAK,2022,576305.4697,544898.4763,2024,498913.58,465672.61,2021,521460.0000000001,2021,486640.0000000001,,801500,1362550,Yes,1279000,2123970,Yes,,,,,,,,,325427.8562,373674.2117,415917.3034,415917.3034,451800.5519,451800.5519,702795.4508,702795.4508,,,629494.9297720231,693055.0580000001,354463.9,548275.2000000001,447147.8,534235.6,566349.2999999999,599920.7,598432.8,972838.2000000001
Palau,PLW,2022,-620.6899999999999,113.41,2024,308.1842,406.7542,2007,373.54083,2026,119,,112.2,130.1,No,92,145.1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,2021,-6805.978355,20519.5391763849,2024,-3577.3337,22944.347,,,,,2050,,,,-1741.194,-5.334000000001282,Yes,,,,,,,,,,,,,,,,,,,,,-30441.9,-14471.6,-32325.5,-11777.2,-15240.5,-6474.9,-22269.6,-7553.200000000001
Papua New Guinea,PNG,2022,3909.1,18178.9,2024,12956.056,12465.42,2015,10503.69,,,2050,,,,,,,,4501.581428571399,4501.581428571399,,,2094.160714285749,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,2021,35971.82,31272.44239188074,2024,46520.741,31430.582,2010,71962.61,2019,32253.76261073148,,72758,81853,Yes,84154,94673,Yes,,,,,,,,,,,,,,,,,,,,,-78668.89999999999,-8095.1,-103895.1,-5315,7083.5,21608.4,-63079,16266.3
Peru,PER,2021,194895.529,110103.8377543871,2024,218874.34,118305.93,,,,,2050,179000,208800,Yes,179000,179000,Yes,No,,,134250,156600.0000000022,100808.0322413789,,,,,,,,,,,,,,,88136.10000000001,152497.9,76151.39999999999,164247.3,179619.6,196509.4,131022.5,187180.1
Philippines,PHL,2020,204325,275680,2024,267863.8,275317.9,,,,,,83507.5,324977.787,Yes,,,,,,,,,,,,,,,,,,,,,,,,249794.1,354685.2,182613.8,386736.5,441298.5,487001.9,392143.2,503178.9
Qatar,QAT,2007,61592.97186,61592.97186,2024,167640.11,167640.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77693.89999999999,119199.9,80011.89999999999,128885,144669.4,152463.5,149900.5,165513.6
Republic of Korea,KOR,2022,686461.9114,724294.0624919722,2024,670259.5,708841.04,2018,742309.9436,2018,783873.5690735986,2050,470324.1414441591,470324.1414441591,Yes,289500.8779955203,347957.786052308,Yes,Yes,347957.7860624995,347957.7860624995,352743.106083115,352743.106083115,386045.9354939376,184849.3884644533,316331.8286421243,311548.583984375,471647.216796875,206464.6337792401,568458.557792185,391047.5644822279,635543.393899763,488966.6766700961,667072.0785271787,472248.7680929542,642764.1906738281,247150.2040559033,851341.3602600551,165191.2,325498.7,189165.1,378123.4,478782.5,544502.6,477710.1,619901
Republic of Moldova,MDA,2022,13372.47471,12951.83213989106,2024,12963.194,12852.405,1990,43808.09993,1990,45484.11065871011,2050,12702,12702,Yes,10950,10950,Yes,Yes,10952.02498250001,10952.02498250001,9526.499999999942,9526.499999999942,7450.937577723721,,,,,,,,,,,,,,,6926.9,13609.3,5664,15719.4,17446.2,24703,18895.8,24919.7
Russian Federation,RUS,2023,911126.4688,2082884.587,2024,1086100.6,2136183.3,1990,2427221.461,1990,3147532.087,2060,1699055.0227,1699055.0227,Yes,1577693.949690911,1626238.37891217,Yes,No,866864.8074999946,866864.8074999946,1415879.18558334,1415879.18558334,749869.5994444061,517928.9294518453,1912723.999023437,262064.6896362305,2456337.5,365230.2551269531,3172874.5,614256.103515625,3172874.5,710477.3559570313,3518424.9,1210266.235351562,4342492.3,1797450.927734375,4467499,-159707.4,625920.7,-459656,833869.6,439106,1707452.8,587395.3,1646847.9
Rwanda,RWA,2022,7903.295686,12690.09188791461,2024,9502.2829,14217.217,,,,,2050,10930,17510,Yes,13000,26020,Yes,No,,,8197.499999999991,13132.49999999994,4233.908403214286,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,1994,74.65349999999999,164.4083,2024,279.09623,392.19623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,LCA,2010,572,823,2024,500.7007599999999,835.35801,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,2010,407,,2024,360.53659,384.69734,,,,,,468,468,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,WSM,2020,-353.5810000000001,496.989,2024,-377.33684,486.93316,,,2015,474.235,,,,,392.22,392.22,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,SMR,2010,256.79,267.27,2024,184.14256,186.06459,2005,284.09898,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,2018,-303.52,212.5,2024,-232.3113,281.75642,,,,,,250,324.1,No,252.8,394.1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
