iso3,year,b2c_min,cp_min,dt_min,fw_min,ld_min,ndc_min,nz_min,b2c_max,cp_max,dt_max,fw_max,ld_max,ndc_max,nz_max,c8_ghg_med,c8_ghg_p5,c8_ghg_p95,c7_ghg_med,c7_ghg_p5,c7_ghg_p95,c6_ghg_med,c6_ghg_p5,c6_ghg_p95,c5_ghg_med,c5_ghg_p5,c5_ghg_p95,c4_ghg_med,c4_ghg_p5,c4_ghg_p95,c3_ghg_med,c3_ghg_p5,c3_ghg_p95,c2_ghg_med,c2_ghg_p5,c2_ghg_p95,c1_ghg_med,c1_ghg_p5,c1_ghg_p95,past_ghg_net,ndc_low,ndc_high,ndc35pt_low,ndc35pt_high
TWN,2048,-20.23093999999992,25.33698,-20.44118000000003,33.67776000000003,5.889040000000023,15.01418,-22.25733999999989,74.12776000000122,231.0162199999995,88.97170000000006,221.7945799999998,43.47171999999955,182.01314,37.6867000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWN,2049,-19.41601999999989,25.32384,-21.00834000000009,32.40057999999999,5.647420000000011,15.00494,-21.50031999999987,69.96478000000207,228.7965599999998,84.71839999999975,219.7892400000001,40.47115999999914,178.3921200000004,33.86959999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWN,2050,-18.6011,25.3107,-21.5755,31.1234,5.4058,14.9957,-20.7433,65.8018,226.5769,80.46510000000001,217.7839,37.4706,174.7711,30.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.166586,,,,
TZA,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.00855199999999,,,,
TZA,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.146474,,,,
TZA,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.564279,,,,
TZA,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.480817,,,,
TZA,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.79586599999999,,,,
TZA,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07364,,,,
TZA,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55731,,,,
TZA,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25197,,,,
TZA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.59660700000001,,,,
TZA,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.75561,,,,
TZA,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4521,,,,
TZA,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.73646,,,,
TZA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.56587,,,,
TZA,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.74402,,,,
TZA,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.22889,,,,
TZA,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.47152,,,,
TZA,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.42296,,,,
TZA,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.44849,,,,
